"","muBaseline","muInjection","RR_Init","RR_MAT","average_assisted","injection_cessation","e_v","MAT_dropout","tau_proportion","PWID_prevalence","V_prevalence","RR_muMATout","RR_muMATin","RR_mat_protection","baseline_coverage","beta","v_e","tau","mat_enroll_baseline","mat_enroll_40","mat_enroll_50","mat_enroll_60"
"390",0.0144300144300144,0.0058,5.65478388434492,0.579492128001829,1.19906482984615,0.0871551254221096,0.0269696433807509,1.09070258901301,0.12937019541518,0.0183,0.0910639260748619,1.51593323930833,1.94258078245317,0.314147897347906,0.148948052313964,0.502812714407775,0.195097325067366,231.934713611522,0.20900453298496,0.796178376443027,1.1942675530717,1.79140133749775
"391",0.0144300144300144,0.0059,4.76769826100714,0.506582562166254,1.01682797659911,0.0608601184186506,0.0215359345473316,2.88050815474882,0.139882072714343,0.0183,0.0879256259942829,1.81797705412695,1.58231694478594,0.28340657535224,0.259205685284061,0.432194250062949,0.168877517028451,189.490439460378,1.03488291202052,1.97179461524958,2.95769192616759,4.43653783303398
"392",0.0144300144300144,0.0062,6.06120551642079,0.593224934977542,1.23062525069815,0.119378881510259,0.0229088085011393,0.812447816961337,0.129694336713021,0.0183,0.0936563596253803,2.51692447891118,1.71108447342531,0.174902144274089,0.158253359255055,0.623191262159048,0.138459061957994,301.591262214147,0.178101416917973,0.631598203007826,0.947397294695115,1.4210959481467
"393",0.0144300144300144,0.0063,5.68304393086097,0.608080585726306,1.38582933030001,0.0772247969048147,0.0158422073599465,0.907241898500091,0.203315542693453,0.0183,0.0890495037511266,2.46402453559073,1.6374651472491,0.225477932092295,0.309016955489775,0.484617299771553,0.10713216463777,331.385205417903,0.447361236170545,0.666924600972038,1.00038689802462,1.50058034831007
"394",0.0144300144300144,0.006,4.24755205860915,0.566093080913646,2.59760913362352,0.067381392645423,0.0192501234252157,2.06360622477975,0.207230678084696,0.0183,0.0879712509294524,2.85065453438909,2.49860654003597,0.190107607139534,0.327856306218055,0.593651194333729,0.144413840642782,303.483446427325,1.04715565041641,1.43122705111766,2.14684056042628,3.22026084096288
"395",0.0144300144300144,0.0059,5.086519161598,0.521738987297908,1.09749191022616,0.0948387019642437,0.0229699100118717,2.32827909351578,0.161565312036235,0.0183,0.0877051172565484,3.52163618345157,1.23064926259075,0.184084551509915,0.210621830314294,0.582771716473316,0.164243512569253,309.9973747529,0.650670509371104,1.62578725899457,2.43868089601731,3.65802135893848
"396",0.0144300144300144,0.0069,3.50510914445649,0.529075711523732,1.15073967716809,0.100465437262035,0.0276431552012913,0.841311055679976,0.156964207010415,0.0183,0.0895986214424562,1.89686187729428,2.95973873451715,0.15753448282266,0.305081423794535,0.759229466914294,0.19688787688203,316.276707894985,0.420308972105113,0.638300254978905,0.957450379647231,1.43617557089732
"397",0.0144300144300144,0.0062,4.91105616142792,0.767300656887045,1.04155162846165,0.075433613949603,0.0196180451917205,0.811226650611336,0.2089395549106,0.0183,0.0858726040482728,3.72958396541002,1.54040965605265,0.205174128718498,0.164314577047095,0.444749016622143,0.148071028316306,333.320194061042,0.177422729820294,0.601606721748735,0.902410072691409,1.35361511476723
"398",0.0144300144300144,0.0077,6.11472737967667,0.647300955836203,1.48034697441711,0.0604457912632157,0.0290424265373853,1.65247665539515,0.178603413874022,0.0183,0.0893557005274578,2.07167571035331,3.83289460389337,0.178022224109409,0.211294190256286,0.389781236922649,0.23401426928711,239.539872005707,0.463245879817725,1.15282651138202,1.72923977235552,2.59385966907891
"399",0.0144300144300144,0.007,3.91878163847154,0.455473195605097,1.67391299106984,0.0428279862334493,0.0233439572893995,1.09588486173753,0.132572748227735,0.0183,0.0898102534346163,2.9820175041904,1.82762824528269,0.286629812689258,0.310147090321085,0.434992707349204,0.190484978223711,139.614164756528,0.519377357195633,0.770197894331511,1.15529683731389,1.7329452573165
"400",0.0144300144300144,0.0054,4.3212241709602,0.332609719488459,1.27910039279729,0.0665412948830906,0.0308849345965704,1.15340547839188,0.19638778868222,0.0183,0.0921722053410307,2.54168962198876,2.17230309153136,0.141325508625397,0.144556364859884,0.449099434819473,0.238335557376469,285.210127043652,0.208725894585336,0.823483303325616,1.23522494328139,1.85283742318381
"401",0.0144300144300144,0.0067,5.25665643213381,0.7351312581882,1.12384262150856,0.074713151473265,0.0301970979711061,2.1565855973071,0.163513015189061,0.0183,0.0876859333074498,2.38967491262807,2.4757936909241,0.227191074266442,0.210581074462303,0.455489586211956,0.240943711212626,258.247594807426,0.599550541818777,1.49842621833523,2.2476393344371,3.37145901539366
"402",0.0144300144300144,0.006,5.59177263843013,0.429667198889848,1.91392691521711,0.0567581457793399,0.0215965867396475,2.69857489775702,0.222531252939173,0.0183,0.0879714712826011,2.3051075080965,2.91490443017418,0.285997320946272,0.246263526165983,0.430178109973862,0.171411822268333,285.960735111808,0.905721254528535,1.84811983432383,2.77217975663436,4.15826965433168
"403",0.0144300144300144,0.006,4.34668421249992,0.413232074026859,1.02451317883967,0.0665539481436088,0.0254298690790001,1.94331585819522,0.130698734009747,0.0183,0.0893137350486655,2.37943420933346,1.40538217395182,0.16964955004733,0.30938194751914,0.511079639629277,0.198045938079527,189.738715996551,0.907301870689802,1.35025466815585,2.02538199517043,3.03807299527711
"404",0.0144300144300144,0.0072,3.30055107664177,0.567772368537051,2.61985987635556,0.0447265253472605,0.0212213843655596,3.78977701023165,0.208746973287592,0.0183,0.0882716011539651,3.12094844946972,1.51978193785467,0.159240660694701,0.277247825534478,0.477277772665918,0.173145643494364,226.34589322801,1.47693914976892,2.56683770107899,3.85025654978918,5.77538483606693
"405",0.0144300144300144,0.0069,4.48876457105337,0.426030675183378,1.55929993448865,0.0892207333759978,0.0225138815518134,3.32010954629871,0.139746535012958,0.0183,0.0934395527899254,2.30975341086584,2.53527340065854,0.305760326986358,0.270468390684978,0.661487487938132,0.15075223682175,253.210531706459,1.27040149891151,2.28448256775533,3.42672385194269,5.1400857054473
